Bil,Kod Projek & Nama Projek,Kod Pemaju & Nama Pemaju,No. Permit,No PT/Lot/Plot,No Unit,Harga Jualan (RM),Harga SPJB (RM),Status Jualan,Kuota Bumi,Scraped_Date,Scraped_Timestamp
1,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 1-001,"RM 72,800.00","RM 72,800.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
2,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 1-002,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
3,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 1-003,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
4,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 1-004,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
5,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 1-005,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
6,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 1-007,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
7,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 1-008,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
8,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 1-009,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
9,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 1-010,"RM 72,800.00","RM 72,800.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
10,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 1-011,"RM 72,800.00","RM 72,800.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
11,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 1-012,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
12,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 1-013,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
13,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 1-014,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
14,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 1-015,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
15,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 1-016,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
16,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 1-017,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
17,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 1-018,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
18,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 1-019,"RM 70,000.00",-,Belum Dijual,Ya,2026-01-04,2026-01-04 05:17:15
19,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 2-001,"RM 72,800.00","RM 72,800.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
20,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 2-002,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
21,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 2-003,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
22,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 2-004,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
23,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 2-005,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
24,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 2-006,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
25,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 2-007,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
26,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 2-008,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
27,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 2-009,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
28,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 2-010,"RM 72,800.00","RM 72,800.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
29,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 2-011,"RM 72,800.00","RM 72,800.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
30,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 2-012,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
31,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 2-013,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
