Bil,Kod Projek & Nama Projek,Kod Pemaju & Nama Pemaju,No. Permit,No PT/Lot/Plot,No Unit,Harga Jualan (RM),Harga SPJB (RM),Status Jualan,Kuota Bumi,Scraped_Date,Scraped_Timestamp
1,14677-11 TAMAN SERAMBI GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-11/11-2026/1076(N)-(L),HSM 5736,PT 19611,"RM 167,000.00","RM 167,000.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
2,14677-11 TAMAN SERAMBI GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-11/11-2026/1076(N)-(L),HSM 5735,PT 19610,"RM 104,200.00","RM 104,200.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
3,14677-11 TAMAN SERAMBI GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-11/11-2026/1076(N)-(L),HSM 5734,PT 19609,"RM 104,200.00","RM 104,200.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
4,14677-11 TAMAN SERAMBI GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-11/11-2026/1076(N)-(L),HSM 5733,PT 19608,"RM 104,200.00","RM 104,200.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
5,14677-11 TAMAN SERAMBI GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-11/11-2026/1076(N)-(L),HSM 5732,PT 19607,"RM 104,200.00","RM 104,200.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
6,14677-11 TAMAN SERAMBI GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-11/11-2026/1076(N)-(L),HSM 5731,PT 19606,"RM 104,200.00","RM 104,200.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
7,14677-11 TAMAN SERAMBI GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-11/11-2026/1076(N)-(L),HSM 5730,PT 19605,"RM 104,200.00","RM 104,200.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
8,14677-11 TAMAN SERAMBI GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-11/11-2026/1076(N)-(L),HSM 5729,PT 19604,"RM 104,200.00",-,Belum Dijual,Ya,2026-01-04,2026-01-04 05:17:15
9,14677-11 TAMAN SERAMBI GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-11/11-2026/1076(N)-(L),HSM 5728,PT 19603,"RM 104,200.00","RM 104,200.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
10,14677-11 TAMAN SERAMBI GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-11/11-2026/1076(N)-(L),HSM 5727,PT 19602,"RM 104,200.00","RM 104,200.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
11,14677-11 TAMAN SERAMBI GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-11/11-2026/1076(N)-(L),HSM 5726,PT 19601,"RM 104,200.00",-,Belum Dijual,Ya,2026-01-04,2026-01-04 05:17:15
12,14677-11 TAMAN SERAMBI GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-11/11-2026/1076(N)-(L),HSM 5725,PT 19600,"RM 104,200.00",-,Belum Dijual,Ya,2026-01-04,2026-01-04 05:17:15
13,14677-11 TAMAN SERAMBI GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-11/11-2026/1076(N)-(L),HSM 5724,PT 19599,"RM 104,200.00","RM 104,200.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
14,14677-11 TAMAN SERAMBI GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-11/11-2026/1076(N)-(L),HSM 5723,PT 19598,"RM 104,200.00",-,Belum Dijual,Ya,2026-01-04,2026-01-04 05:17:15
15,14677-11 TAMAN SERAMBI GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-11/11-2026/1076(N)-(L),HSM 5722,PT 19597,"RM 104,200.00",-,Belum Dijual,Ya,2026-01-04,2026-01-04 05:17:15
16,14677-11 TAMAN SERAMBI GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-11/11-2026/1076(N)-(L),HSM 5721,PT 19596,"RM 158,000.00","RM 158,000.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
17,14677-11 TAMAN SERAMBI GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-11/11-2026/1076(N)-(L),HSM 5749,PT 19624,"RM 146,000.00","RM 146,000.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
18,14677-11 TAMAN SERAMBI GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-11/11-2026/1076(N)-(L),HSM 5748,PT 19623,"RM 104,200.00","RM 104,200.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
19,14677-11 TAMAN SERAMBI GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-11/11-2026/1076(N)-(L),HSM 5747,PT 19622,"RM 104,200.00","RM 104,200.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
20,14677-11 TAMAN SERAMBI GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-11/11-2026/1076(N)-(L),HSM 5746,PT 19621,"RM 104,200.00",-,Belum Dijual,Ya,2026-01-04,2026-01-04 05:17:15
21,14677-11 TAMAN SERAMBI GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-11/11-2026/1076(N)-(L),HSM 5745,PT 19620,"RM 104,200.00","RM 104,200.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
22,14677-11 TAMAN SERAMBI GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-11/11-2026/1076(N)-(L),HSM 5744,PT 19619,"RM 104,200.00","RM 104,200.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
23,14677-11 TAMAN SERAMBI GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-11/11-2026/1076(N)-(L),HSM 5743,PT 19618,"RM 104,200.00","RM 104,200.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
24,14677-11 TAMAN SERAMBI GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-11/11-2026/1076(N)-(L),HSM 5742,PT 19617,"RM 104,200.00","RM 104,200.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
25,14677-11 TAMAN SERAMBI GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-11/11-2026/1076(N)-(L),HSM 5741,PT 19616,"RM 104,200.00","RM 104,200.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
26,14677-11 TAMAN SERAMBI GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-11/11-2026/1076(N)-(L),HSM 5740,PT 19615,"RM 104,200.00","RM 104,200.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
27,14677-11 TAMAN SERAMBI GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-11/11-2026/1076(N)-(L),HSM 5739,PT 19614,"RM 104,200.00","RM 104,200.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
28,14677-11 TAMAN SERAMBI GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-11/11-2026/1076(N)-(L),HSM 5738,PT 19613,"RM 104,200.00","RM 104,200.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
29,14677-11 TAMAN SERAMBI GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-11/11-2026/1076(N)-(L),HSM 5737,PT 19612,"RM 170,000.00","RM 170,000.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
30,14677-11 TAMAN SERAMBI GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-11/11-2026/1076(N)-(L),HSM 5759,PT 19634,"RM 170,000.00","RM 170,000.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
31,14677-11 TAMAN SERAMBI GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-11/11-2026/1076(N)-(L),HSM 5758,PT 19633,"RM 104,200.00","RM 104,200.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
32,14677-11 TAMAN SERAMBI GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-11/11-2026/1076(N)-(L),HSM 5757,PT 19632,"RM 104,200.00","RM 104,200.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
33,14677-11 TAMAN SERAMBI GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-11/11-2026/1076(N)-(L),HSM 5756,PT 19631,"RM 104,200.00","RM 104,200.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
34,14677-11 TAMAN SERAMBI GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-11/11-2026/1076(N)-(L),HSM 5755,PT 19630,"RM 104,200.00","RM 104,200.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
35,14677-11 TAMAN SERAMBI GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-11/11-2026/1076(N)-(L),HSM 5754,PT 19629,"RM 104,200.00","RM 104,200.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
36,14677-11 TAMAN SERAMBI GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-11/11-2026/1076(N)-(L),HSM 5753,PT 19628,"RM 104,200.00",-,Belum Dijual,Ya,2026-01-04,2026-01-04 05:17:15
37,14677-11 TAMAN SERAMBI GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-11/11-2026/1076(N)-(L),HSM 5752,PT 19627,"RM 104,200.00",-,Belum Dijual,Ya,2026-01-04,2026-01-04 05:17:15
38,14677-11 TAMAN SERAMBI GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-11/11-2026/1076(N)-(L),HSM 5751,PT 19626,"RM 104,200.00","RM 104,200.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
39,14677-11 TAMAN SERAMBI GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-11/11-2026/1076(N)-(L),HSM 5750,PT 19625,"RM 151,000.00","RM 151,000.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
40,14677-10 TAMAN SERAMBI GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-10/09-2026/0695(R)-(L),HSM 5717,PT 15713,"RM 524,400.00","RM 471,900.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
41,14677-10 TAMAN SERAMBI GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-10/09-2026/0695(R)-(L),HSM 5716,PT 15712,"RM 382,950.00","RM 344,600.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
42,14677-10 TAMAN SERAMBI GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-10/09-2026/0695(R)-(L),HSM 5715,PT 15711,"RM 382,950.00","RM 344,600.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
43,14677-10 TAMAN SERAMBI GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-10/09-2026/0695(R)-(L),HSM 5714,PT 15710,"RM 382,950.00","RM 344,600.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
44,14677-10 TAMAN SERAMBI GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-10/09-2026/0695(R)-(L),HSM 5713,PT 15709,"RM 382,950.00",-,Belum Dijual,Ya,2026-01-04,2026-01-04 05:17:15
45,14677-10 TAMAN SERAMBI GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-10/09-2026/0695(R)-(L),HSM 5712,PT 15708,"RM 382,950.00",-,Belum Dijual,Ya,2026-01-04,2026-01-04 05:17:15
46,14677-10 TAMAN SERAMBI GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-10/09-2026/0695(R)-(L),HSM 5711,PT 15707,"RM 382,950.00",-,Belum Dijual,Ya,2026-01-04,2026-01-04 05:17:15
47,14677-10 TAMAN SERAMBI GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-10/09-2026/0695(R)-(L),HSM 5710,PT 15706,"RM 382,950.00","RM 344,600.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
48,14677-10 TAMAN SERAMBI GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-10/09-2026/0695(R)-(L),HSM 5709,PT 15705,"RM 382,950.00","RM 344,600.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
49,14677-10 TAMAN SERAMBI GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-10/09-2026/0695(R)-(L),HSM 5708,PT 15704,"RM 382,950.00","RM 344,600.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
