Bil,Kod Projek & Nama Projek,Kod Pemaju & Nama Pemaju,No. Permit,No PT/Lot/Plot,No Unit,Harga Jualan (RM),Harga SPJB (RM),Status Jualan,Kuota Bumi,Scraped_Date,Scraped_Timestamp
1,31210-1 TAMAN BENTARA,31210 KENTING PAVILION DEVELOPMENT SDN. BHD.,31210-1/01-2028/0001(N)-(L),GMM 24/15,PT 6652,"RM 430,000.00","RM 430,000.00",Telah Dijual,Tidak,2026-01-07,2026-01-07 15:38:29
2,31210-1 TAMAN BENTARA,31210 KENTING PAVILION DEVELOPMENT SDN. BHD.,31210-1/01-2028/0001(N)-(L),GMM 24/16,PT 6653,"RM 405,000.00","RM 405,000.00",Telah Dijual,Tidak,2026-01-07,2026-01-07 15:38:29
3,31210-1 TAMAN BENTARA,31210 KENTING PAVILION DEVELOPMENT SDN. BHD.,31210-1/01-2028/0001(N)-(L),GMM 24/17,PT 6654,"RM 405,000.00","RM 405,000.00",Telah Dijual,Tidak,2026-01-07,2026-01-07 15:38:29
4,31210-1 TAMAN BENTARA,31210 KENTING PAVILION DEVELOPMENT SDN. BHD.,31210-1/01-2028/0001(N)-(L),GMM 24/18,PT 6655,"RM 405,000.00","RM 405,000.00",Telah Dijual,Tidak,2026-01-07,2026-01-07 15:38:29
5,31210-1 TAMAN BENTARA,31210 KENTING PAVILION DEVELOPMENT SDN. BHD.,31210-1/01-2028/0001(N)-(L),GMM 24/19,PT 6656,"RM 405,000.00","RM 405,000.00",Telah Dijual,Tidak,2026-01-07,2026-01-07 15:38:29
6,31210-1 TAMAN BENTARA,31210 KENTING PAVILION DEVELOPMENT SDN. BHD.,31210-1/01-2028/0001(N)-(L),GMM 24/20,PT 6657,"RM 406,000.00","RM 406,000.00",Telah Dijual,Tidak,2026-01-07,2026-01-07 15:38:29
7,31210-1 TAMAN BENTARA,31210 KENTING PAVILION DEVELOPMENT SDN. BHD.,31210-1/01-2028/0001(N)-(L),GMM 24/21,PT 6658,"RM 424,000.00","RM 424,000.00",Telah Dijual,Tidak,2026-01-07,2026-01-07 15:38:29
8,31210-1 TAMAN BENTARA,31210 KENTING PAVILION DEVELOPMENT SDN. BHD.,31210-1/01-2028/0001(N)-(L),GMM 24/22,PT 6659,"RM 405,000.00","RM 405,000.00",Telah Dijual,Tidak,2026-01-07,2026-01-07 15:38:29
9,31210-1 TAMAN BENTARA,31210 KENTING PAVILION DEVELOPMENT SDN. BHD.,31210-1/01-2028/0001(N)-(L),GMM 24/23,PT 6660,"RM 406,000.00","RM 406,000.00",Telah Dijual,Tidak,2026-01-07,2026-01-07 15:38:29
10,31210-1 TAMAN BENTARA,31210 KENTING PAVILION DEVELOPMENT SDN. BHD.,31210-1/01-2028/0001(N)-(L),GMM 24/24,PT 6661,"RM 405,000.00","RM 405,000.00",Telah Dijual,Tidak,2026-01-07,2026-01-07 15:38:29
