Bil,Kod Projek & Nama Projek,Kod Pemaju & Nama Pemaju,No. Permit,No PT/Lot/Plot,No Unit,Harga Jualan (RM),Harga SPJB (RM),Status Jualan,Kuota Bumi,Scraped_Date,Scraped_Timestamp
1,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M15/T1/197,M15/T1/197,"RM 114,870.00","RM 114,870.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
2,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M20/T1/240,M20/T1/240,"RM 114,870.00","RM 114,870.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
3,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M23/T1/262,M23/T1/262,"RM 114,870.00","RM 114,870.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
4,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M25/T2/281,M25/T2/281,"RM 99,000.00","RM 99,000.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
5,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M25/T2/282,M25/T2/282,"RM 99,000.00","RM 99,000.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
6,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M26/T1/287,M26/T1/287,"RM 114,870.00","RM 114,870.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
7,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M26/T1/288,M26/T1/288,"RM 114,870.00","RM 114,870.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
8,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M27/T1/293,M27/T1/293,"RM 114,870.00","RM 114,870.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
9,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M27/T1/295,M27/T1/295,"RM 114,870.00","RM 114,870.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
10,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M27/T1/296,M27/T1/296,"RM 114,870.00","RM 114,870.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
11,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M28/T1/302,M28/T1/302,"RM 114,870.00","RM 114,870.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
12,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M28/T1/303,M28/T1/303,"RM 114,870.00","RM 114,870.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
13,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M28/T2/305,M28/T2/305,"RM 99,000.00","RM 99,000.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
14,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M29/T1/310,M29/T1/310,"RM 114,870.00","RM 114,870.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
15,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M30/T1/318,M30/T1/318,"RM 114,870.00","RM 114,870.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
16,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M30/T2/321,M30/T2/321,"RM 99,000.00","RM 99,000.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
17,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M30/T2/322,M30/T2/322,"RM 99,000.00","RM 99,000.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
18,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M31/T1/326,M31/T1/326,"RM 114,870.00","RM 114,870.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
19,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M31/T2/330,M31/T2/330,"RM 99,000.00","RM 99,000.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
20,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M32/T1/334,M32/T1/334,"RM 114,870.00","RM 114,870.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
21,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M33/T1/342,M33/T1/342,"RM 114,870.00","RM 114,870.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
22,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M33/T1/343,M33/T1/343,"RM 114,870.00","RM 114,870.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
23,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M33/T2/347,M33/T2/347,"RM 99,000.00","RM 99,000.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
24,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M34/T1/349,M34/T1/349,"RM 114,870.00","RM 114,870.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
25,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M35/T1/357,M35/T1/357,"RM 114,870.00","RM 114,870.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
26,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M11/T1/168,M11/T1/168,"RM 114,870.00","RM 114,870.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
27,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M12/T1/173,M12/T1/173,"RM 114,870.00","RM 114,870.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
28,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M13/T1/182,M13/T1/182,"RM 127,770.00","RM 127,770.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
29,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M13/T1/184,M13/T1/184,"RM 114,870.00","RM 114,870.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
30,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M36/T1/365,M36/T1/365,"RM 148,500.00","RM 148,500.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
31,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M36/T2/367,M36/T2/367,"RM 114,320.00","RM 114,320.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
32,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M37/T1/369,M37/T1/369,"RM 127,770.00","RM 127,770.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
33,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M38/T1/377,M38/T1/377,"RM 114,870.00","RM 114,870.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
34,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M38/T1/378,M38/T1/378,"RM 127,770.00","RM 127,770.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
35,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M38/T2/382,M38/T2/382,"RM 99,000.00","RM 99,000.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
36,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M38/T2/384,M38/T2/384,"RM 99,000.00","RM 99,000.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
37,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M39/T1/385,M39/T1/385,"RM 114,870.00","RM 114,870.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
38,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M39/T1/387,M39/T1/387,"RM 114,870.00","RM 114,870.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
39,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M39/T2/391,M39/T2/391,"RM 99,000.00","RM 99,000.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
40,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M40/T1/395,M40/T1/395,"RM 114,870.00","RM 114,870.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
41,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M42/T1/411,M42/T1/411,"RM 114,870.00","RM 114,870.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
42,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M42/T2/415,M42/T2/415,"RM 99,000.00","RM 99,000.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
43,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M43/T1/417,M43/T1/417,"RM 114,870.00","RM 114,870.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
44,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M43/T1/419,M43/T1/419,"RM 114,870.00","RM 114,870.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
45,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M43/T1/420,M43/T1/420,"RM 114,870.00","RM 114,870.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
46,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M43/T2/423,M43/T2/423,"RM 99,000.00","RM 99,000.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
47,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M5/T1/118,M5/T1/118,"RM 114,870.00","RM 114,870.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
48,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M5/T1/119,M5/T1/119,"RM 114,870.00","RM 114,870.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
49,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M5/T2/123,M5/T2/123,"RM 99,000.00","RM 99,000.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
50,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M6/T1/127,M6/T1/127,"RM 114,870.00","RM 114,870.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
51,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M8/T1/144,M8/T1/144,"RM 114,870.00","RM 114,870.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
52,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M44/T1/427,M44/T1/427,"RM 105,220.00","RM 105,220.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
53,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M11/T1/165,M11/T1/165,"RM 114,870.00","RM 114,870.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
54,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M11/T1/166,M11/T1/166,"RM 114,870.00","RM 114,870.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
55,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M11/T1/167,M11/T1/167,"RM 114,870.00","RM 114,870.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
56,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M12/T1/174,M12/T1/174,"RM 114,870.00","RM 114,870.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
57,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M12/T2/179,M12/T2/179,"RM 99,000.00","RM 99,000.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
58,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M13/T1/181,M13/T1/181,"RM 114,870.00","RM 114,870.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
59,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M12/T2/188,M12/T2/188,"RM 99,000.00","RM 99,000.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
60,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M14/T1/190,M14/T1/190,"RM 114,870.00","RM 114,870.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
61,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M14/T1/191,M14/T1/191,"RM 114,870.00","RM 114,870.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
62,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M14/T1/192,M14/T1/192,"RM 127,770.00","RM 127,770.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
