Bil,Kod Projek & Nama Projek,Kod Pemaju & Nama Pemaju,No. Permit,No PT/Lot/Plot,No Unit,Harga Jualan (RM),Harga SPJB (RM),Status Jualan,Kuota Bumi,Scraped_Date,Scraped_Timestamp
1,30776-1 TAMAN OZANA RESIDEN,30776 PDG CORPORATION SDN. BHD.,30776-1/08-2026/0766(A)-(L),H.S.(D) 90296,PT 26941,"RM 792,720.00","RM 742,736.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
2,30776-1 TAMAN OZANA RESIDEN,30776 PDG CORPORATION SDN. BHD.,30776-1/08-2026/0766(A)-(L),H.S.(D) 90297,PT 26942,"RM 700,200.00",-,Belum Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
3,30776-1 TAMAN OZANA RESIDEN,30776 PDG CORPORATION SDN. BHD.,30776-1/08-2026/0766(A)-(L),H.S.(D) 90298,PT 26943,"RM 700,200.00",-,Belum Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
4,30776-1 TAMAN OZANA RESIDEN,30776 PDG CORPORATION SDN. BHD.,30776-1/08-2026/0766(A)-(L),H.S.(D) 90299,PT 26944,"RM 700,200.00",-,Belum Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
5,30776-1 TAMAN OZANA RESIDEN,30776 PDG CORPORATION SDN. BHD.,30776-1/08-2026/0766(A)-(L),H.S.(D) 90300,PT 26945,"RM 700,200.00","RM 648,800.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
6,30776-1 TAMAN OZANA RESIDEN,30776 PDG CORPORATION SDN. BHD.,30776-1/08-2026/0766(A)-(L),H.S.(D) 90301,PT 26946,"RM 700,200.00",-,Belum Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
7,30776-1 TAMAN OZANA RESIDEN,30776 PDG CORPORATION SDN. BHD.,30776-1/08-2026/0766(A)-(L),H.S.(D) 90302,PT 26947,"RM 700,200.00",-,Belum Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
8,30776-1 TAMAN OZANA RESIDEN,30776 PDG CORPORATION SDN. BHD.,30776-1/08-2026/0766(A)-(L),H.S.(D) 90303,PT 26948,"RM 700,200.00",-,Belum Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
9,30776-1 TAMAN OZANA RESIDEN,30776 PDG CORPORATION SDN. BHD.,30776-1/08-2026/0766(A)-(L),H.S.(D) 90304,PT 26949,"RM 700,200.00",-,Belum Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
10,30776-1 TAMAN OZANA RESIDEN,30776 PDG CORPORATION SDN. BHD.,30776-1/08-2026/0766(A)-(L),H.S.(D) 90305,PT 26950,"RM 727,660.00","RM 616,800.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
