Bil,Kod Projek & Nama Projek,Kod Pemaju & Nama Pemaju,No. Permit,No PT/Lot/Plot,No Unit,Harga Jualan (RM),Harga SPJB (RM),Status Jualan,Kuota Bumi,Scraped_Date,Scraped_Timestamp
1,10024-6 TAMAN GAPAM PERDANA,10024 RIVERWELL RESOURCES SDN. BHD.,10024-6/07-2028/0624(A)-(S),-,L67,"RM 565,000.00",-,Belum Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
2,10024-6 TAMAN GAPAM PERDANA,10024 RIVERWELL RESOURCES SDN. BHD.,10024-6/07-2028/0624(A)-(S),-,L68,"RM 505,000.00",-,Belum Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
3,10024-6 TAMAN GAPAM PERDANA,10024 RIVERWELL RESOURCES SDN. BHD.,10024-6/07-2028/0624(A)-(S),-,L69,"RM 505,000.00",-,Belum Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
4,10024-6 TAMAN GAPAM PERDANA,10024 RIVERWELL RESOURCES SDN. BHD.,10024-6/07-2028/0624(A)-(S),-,L70,"RM 505,000.00",-,Belum Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
5,10024-6 TAMAN GAPAM PERDANA,10024 RIVERWELL RESOURCES SDN. BHD.,10024-6/07-2028/0624(A)-(S),-,L71,"RM 505,000.00",-,Belum Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
6,10024-6 TAMAN GAPAM PERDANA,10024 RIVERWELL RESOURCES SDN. BHD.,10024-6/07-2028/0624(A)-(S),-,L72,"RM 505,000.00","RM 505,000.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
7,10024-6 TAMAN GAPAM PERDANA,10024 RIVERWELL RESOURCES SDN. BHD.,10024-6/07-2028/0624(A)-(S),-,L73,"RM 505,000.00",-,Belum Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
8,10024-6 TAMAN GAPAM PERDANA,10024 RIVERWELL RESOURCES SDN. BHD.,10024-6/07-2028/0624(A)-(S),-,L74,"RM 505,000.00",-,Belum Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
9,10024-6 TAMAN GAPAM PERDANA,10024 RIVERWELL RESOURCES SDN. BHD.,10024-6/07-2028/0624(A)-(S),-,L75,"RM 505,000.00",-,Belum Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
10,10024-6 TAMAN GAPAM PERDANA,10024 RIVERWELL RESOURCES SDN. BHD.,10024-6/07-2028/0624(A)-(S),-,L76,"RM 573,000.00",-,Belum Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
11,10024-6 TAMAN GAPAM PERDANA,10024 RIVERWELL RESOURCES SDN. BHD.,10024-6/07-2028/0624(A)-(S),-,L77,"RM 647,000.00",-,Belum Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
12,10024-6 TAMAN GAPAM PERDANA,10024 RIVERWELL RESOURCES SDN. BHD.,10024-6/07-2028/0624(A)-(S),-,L78,"RM 500,000.00",-,Belum Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
13,10024-6 TAMAN GAPAM PERDANA,10024 RIVERWELL RESOURCES SDN. BHD.,10024-6/07-2028/0624(A)-(S),-,L79,"RM 500,000.00",-,Belum Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
14,10024-6 TAMAN GAPAM PERDANA,10024 RIVERWELL RESOURCES SDN. BHD.,10024-6/07-2028/0624(A)-(S),-,L80,"RM 500,000.00",-,Belum Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
15,10024-6 TAMAN GAPAM PERDANA,10024 RIVERWELL RESOURCES SDN. BHD.,10024-6/07-2028/0624(A)-(S),-,L81,"RM 500,000.00",-,Belum Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
16,10024-6 TAMAN GAPAM PERDANA,10024 RIVERWELL RESOURCES SDN. BHD.,10024-6/07-2028/0624(A)-(S),-,L82,"RM 500,000.00",-,Belum Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
17,10024-6 TAMAN GAPAM PERDANA,10024 RIVERWELL RESOURCES SDN. BHD.,10024-6/07-2028/0624(A)-(S),-,L83,"RM 500,000.00",-,Belum Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
18,10024-6 TAMAN GAPAM PERDANA,10024 RIVERWELL RESOURCES SDN. BHD.,10024-6/07-2028/0624(A)-(S),-,L84,"RM 500,000.00","RM 488,000.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
19,10024-6 TAMAN GAPAM PERDANA,10024 RIVERWELL RESOURCES SDN. BHD.,10024-6/07-2028/0624(A)-(S),-,L85,"RM 500,000.00",-,Belum Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
20,10024-6 TAMAN GAPAM PERDANA,10024 RIVERWELL RESOURCES SDN. BHD.,10024-6/07-2028/0624(A)-(S),-,L86,"RM 560,000.00",-,Belum Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
21,10024-6 TAMAN GAPAM PERDANA,10024 RIVERWELL RESOURCES SDN. BHD.,10024-6/07-2028/0624(A)-(S),-,L87,"RM 560,000.00",-,Belum Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
22,10024-6 TAMAN GAPAM PERDANA,10024 RIVERWELL RESOURCES SDN. BHD.,10024-6/07-2028/0624(A)-(S),-,L88,"RM 500,000.00",-,Belum Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
23,10024-6 TAMAN GAPAM PERDANA,10024 RIVERWELL RESOURCES SDN. BHD.,10024-6/07-2028/0624(A)-(S),-,L89,"RM 500,000.00",-,Belum Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
24,10024-6 TAMAN GAPAM PERDANA,10024 RIVERWELL RESOURCES SDN. BHD.,10024-6/07-2028/0624(A)-(S),-,L90,"RM 500,000.00",-,Belum Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
25,10024-6 TAMAN GAPAM PERDANA,10024 RIVERWELL RESOURCES SDN. BHD.,10024-6/07-2028/0624(A)-(S),-,L91,"RM 500,000.00",-,Belum Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
26,10024-6 TAMAN GAPAM PERDANA,10024 RIVERWELL RESOURCES SDN. BHD.,10024-6/07-2028/0624(A)-(S),-,L92,"RM 500,000.00",-,Belum Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
27,10024-6 TAMAN GAPAM PERDANA,10024 RIVERWELL RESOURCES SDN. BHD.,10024-6/07-2028/0624(A)-(S),-,L93,"RM 500,000.00",-,Belum Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
28,10024-6 TAMAN GAPAM PERDANA,10024 RIVERWELL RESOURCES SDN. BHD.,10024-6/07-2028/0624(A)-(S),-,L94,"RM 500,000.00",-,Belum Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
29,10024-6 TAMAN GAPAM PERDANA,10024 RIVERWELL RESOURCES SDN. BHD.,10024-6/07-2028/0624(A)-(S),-,L95,"RM 500,000.00",-,Belum Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
30,10024-6 TAMAN GAPAM PERDANA,10024 RIVERWELL RESOURCES SDN. BHD.,10024-6/07-2028/0624(A)-(S),-,L96,"RM 500,000.00",-,Belum Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
31,10024-6 TAMAN GAPAM PERDANA,10024 RIVERWELL RESOURCES SDN. BHD.,10024-6/07-2028/0624(A)-(S),-,L97,"RM 500,000.00",-,Belum Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
32,10024-6 TAMAN GAPAM PERDANA,10024 RIVERWELL RESOURCES SDN. BHD.,10024-6/07-2028/0624(A)-(S),-,L98,"RM 591,000.00","RM 591,000.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
33,10024-6 TAMAN GAPAM PERDANA,10024 RIVERWELL RESOURCES SDN. BHD.,10024-6/07-2028/0624(A)-(S),-,L99,"RM 668,000.00",-,Belum Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
34,10024-6 TAMAN GAPAM PERDANA,10024 RIVERWELL RESOURCES SDN. BHD.,10024-6/07-2028/0624(A)-(S),-,L100,"RM 500,000.00",-,Belum Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
35,10024-6 TAMAN GAPAM PERDANA,10024 RIVERWELL RESOURCES SDN. BHD.,10024-6/07-2028/0624(A)-(S),-,L101,"RM 500,000.00","RM 488,000.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
