Bil,Kod Projek & Nama Projek,Kod Pemaju & Nama Pemaju,No. Permit,No PT/Lot/Plot,No Unit,Harga Jualan (RM),Harga SPJB (RM),Status Jualan,Kuota Bumi,Scraped_Date,Scraped_Timestamp
1,30883-1 VILA BACHANG,30883 SEKITAR SINARMAS SDN. BHD.,30883-1/11-2027/1090(A)-(S),-,L131,"RM 2,028,000.00","RM 1,825,000.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
2,30883-1 VILA BACHANG,30883 SEKITAR SINARMAS SDN. BHD.,30883-1/11-2027/1090(A)-(S),-,L132,"RM 2,468,400.00","RM 2,200,000.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
3,30883-1 VILA BACHANG,30883 SEKITAR SINARMAS SDN. BHD.,30883-1/11-2027/1090(A)-(S),-,L133,"RM 2,582,600.00","RM 2,582,600.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
4,30883-1 VILA BACHANG,30883 SEKITAR SINARMAS SDN. BHD.,30883-1/11-2027/1090(A)-(S),-,L134,"RM 2,028,000.00",-,Belum Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
5,30883-1 VILA BACHANG,30883 SEKITAR SINARMAS SDN. BHD.,30883-1/11-2027/1090(A)-(S),-,L135,"RM 2,028,000.00","RM 2,028,000.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
6,30883-1 VILA BACHANG,30883 SEKITAR SINARMAS SDN. BHD.,30883-1/11-2027/1090(A)-(S),-,L136,"RM 2,504,850.00",-,Belum Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
7,30883-1 VILA BACHANG,30883 SEKITAR SINARMAS SDN. BHD.,30883-1/11-2027/1090(A)-(S),-,L137,"RM 2,509,650.00",-,Belum Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
8,30883-1 VILA BACHANG,30883 SEKITAR SINARMAS SDN. BHD.,30883-1/11-2027/1090(A)-(S),-,L138,"RM 2,028,000.00","RM 2,028,000.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
9,30883-1 VILA BACHANG,30883 SEKITAR SINARMAS SDN. BHD.,30883-1/11-2027/1090(A)-(S),-,L139,"RM 2,028,000.00",-,Belum Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
10,30883-1 VILA BACHANG,30883 SEKITAR SINARMAS SDN. BHD.,30883-1/11-2027/1090(A)-(S),-,L140,"RM 2,028,000.00","RM 1,825,000.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
