Bil,Kod Projek & Nama Projek,Kod Pemaju & Nama Pemaju,No. Permit,No PT/Lot/Plot,No Unit,Harga Jualan (RM),Harga SPJB (RM),Status Jualan,Kuota Bumi,Scraped_Date,Scraped_Timestamp
1,30046-1 RESIDENSI BUKIT PIATU MUTIARA,30046 SHANG HEIGHT AVENUE SDN. BHD.,30046-1/10-2025/0214(A)-(S),-,M1/6/1 (UNIT NO. 06-02-A),"RM 265,000.00","RM 250,000.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
2,30046-1 RESIDENSI BUKIT PIATU MUTIARA,30046 SHANG HEIGHT AVENUE SDN. BHD.,30046-1/10-2025/0214(A)-(S),-,M1/6/2 (UNIT NO. 06-03A-A),"RM 265,000.00","RM 250,000.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
3,30046-1 RESIDENSI BUKIT PIATU MUTIARA,30046 SHANG HEIGHT AVENUE SDN. BHD.,30046-1/10-2025/0214(A)-(S),-,M1/6/3 (UNIT NO. 06-06-A),"RM 265,000.00","RM 250,000.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
4,30046-1 RESIDENSI BUKIT PIATU MUTIARA,30046 SHANG HEIGHT AVENUE SDN. BHD.,30046-1/10-2025/0214(A)-(S),-,M1/6/4 (UNIT NO. 06-08-C),"RM 430,490.00","RM 408,000.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
5,30046-1 RESIDENSI BUKIT PIATU MUTIARA,30046 SHANG HEIGHT AVENUE SDN. BHD.,30046-1/10-2025/0214(A)-(S),-,M1/6/5 (UNIT NO. 06-10-C),"RM 430,490.00",-,Belum Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
6,30046-1 RESIDENSI BUKIT PIATU MUTIARA,30046 SHANG HEIGHT AVENUE SDN. BHD.,30046-1/10-2025/0214(A)-(S),-,M1/6/6 (UNIT NO. 06-12-A),"RM 265,000.00","RM 250,000.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
7,30046-1 RESIDENSI BUKIT PIATU MUTIARA,30046 SHANG HEIGHT AVENUE SDN. BHD.,30046-1/10-2025/0214(A)-(S),-,M1/6/7 (UNIT NO. 06-13A-A),"RM 265,000.00","RM 250,000.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
8,30046-1 RESIDENSI BUKIT PIATU MUTIARA,30046 SHANG HEIGHT AVENUE SDN. BHD.,30046-1/10-2025/0214(A)-(S),-,M1/6/8 (UNIT NO. 06-16-A),"RM 265,000.00","RM 250,000.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
9,30046-1 RESIDENSI BUKIT PIATU MUTIARA,30046 SHANG HEIGHT AVENUE SDN. BHD.,30046-1/10-2025/0214(A)-(S),-,M1/6/9 (UNIT NO. 06-01-B1),"RM 409,430.00",-,Belum Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
10,30046-1 RESIDENSI BUKIT PIATU MUTIARA,30046 SHANG HEIGHT AVENUE SDN. BHD.,30046-1/10-2025/0214(A)-(S),-,M1/6/10 (UNIT NO. 06-03-A1),"RM 271,000.00","RM 250,000.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
11,30046-1 RESIDENSI BUKIT PIATU MUTIARA,30046 SHANG HEIGHT AVENUE SDN. BHD.,30046-1/10-2025/0214(A)-(S),-,M1/6/11 (UNIT NO. 06-05-A1),"RM 271,000.00","RM 250,000.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
12,30046-1 RESIDENSI BUKIT PIATU MUTIARA,30046 SHANG HEIGHT AVENUE SDN. BHD.,30046-1/10-2025/0214(A)-(S),-,M1/6/12 (UNIT NO. 06-07-A1),"RM 271,000.00","RM 250,000.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
13,30046-1 RESIDENSI BUKIT PIATU MUTIARA,30046 SHANG HEIGHT AVENUE SDN. BHD.,30046-1/10-2025/0214(A)-(S),-,M1/6/13 (UNIT NO. 06-09-A1),"RM 271,000.00","RM 250,000.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
14,30046-1 RESIDENSI BUKIT PIATU MUTIARA,30046 SHANG HEIGHT AVENUE SDN. BHD.,30046-1/10-2025/0214(A)-(S),-,06-11-A1,"RM 271,000.00","RM 250,000.00",Telah Dijual,Ya,2026-01-04,2026-01-04 05:17:15
15,30046-1 RESIDENSI BUKIT PIATU MUTIARA,30046 SHANG HEIGHT AVENUE SDN. BHD.,30046-1/10-2025/0214(A)-(S),-,M1/6/15 (UNIT NO. 06-13-A1),"RM 271,000.00","RM 250,000.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
16,30046-1 RESIDENSI BUKIT PIATU MUTIARA,30046 SHANG HEIGHT AVENUE SDN. BHD.,30046-1/10-2025/0214(A)-(S),-,M1/6/16 (UNIT NO. 06-15-B1),"RM 409,430.00","RM 378,000.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
17,30046-1 RESIDENSI BUKIT PIATU MUTIARA,30046 SHANG HEIGHT AVENUE SDN. BHD.,30046-1/10-2025/0214(A)-(S),-,M1/7/17 (UNIT NO. 07-02-A),"RM 267,000.00","RM 250,000.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
18,30046-1 RESIDENSI BUKIT PIATU MUTIARA,30046 SHANG HEIGHT AVENUE SDN. BHD.,30046-1/10-2025/0214(A)-(S),-,M1/7/18 (UNIT NO. 07-03A-A),"RM 267,000.00","RM 250,000.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
19,30046-1 RESIDENSI BUKIT PIATU MUTIARA,30046 SHANG HEIGHT AVENUE SDN. BHD.,30046-1/10-2025/0214(A)-(S),-,M1/7/19 (UNIT NO. 07-06-A),"RM 267,000.00","RM 250,000.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
20,30046-1 RESIDENSI BUKIT PIATU MUTIARA,30046 SHANG HEIGHT AVENUE SDN. BHD.,30046-1/10-2025/0214(A)-(S),-,M1/7/20 (UNIT NO. 07-08-C),"RM 430,490.00",-,Belum Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
21,30046-1 RESIDENSI BUKIT PIATU MUTIARA,30046 SHANG HEIGHT AVENUE SDN. BHD.,30046-1/10-2025/0214(A)-(S),-,M1/7/21 (UNIT NO. 07-10-C),"RM 430,490.00",-,Belum Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
22,30046-1 RESIDENSI BUKIT PIATU MUTIARA,30046 SHANG HEIGHT AVENUE SDN. BHD.,30046-1/10-2025/0214(A)-(S),-,M1/7/22 (UNIT NO. 07-12-A),"RM 267,000.00","RM 250,000.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
23,30046-1 RESIDENSI BUKIT PIATU MUTIARA,30046 SHANG HEIGHT AVENUE SDN. BHD.,30046-1/10-2025/0214(A)-(S),-,M1/7/23 (UNIT NO. 07-13A-A),"RM 267,000.00","RM 250,000.00",Telah Dijual,Tidak,2026-01-04,2026-01-04 05:17:15
