Bil,Kod Projek & Nama Projek,Kod Pemaju & Nama Pemaju,No. Permit,No PT/Lot/Plot,No Unit,Harga Jualan (RM),Harga SPJB (RM),Status Jualan,Kuota Bumi,Scraped_Date,Scraped_Timestamp
1,30150-2 TAMAN BUKIT NIBONG DAMAI,30150 TEOBROS HOLDINGS (M) SDN. BHD.,30150-2/11-2025/1211(A)-(L),HMM 1561,PT 3727,"RM 353,000.00",-,Belum Dijual,Ya,2026-01-04,2026-01-04 05:17:15
2,30150-2 TAMAN BUKIT NIBONG DAMAI,30150 TEOBROS HOLDINGS (M) SDN. BHD.,30150-2/11-2025/1211(A)-(L),HMM 1560,PT 3726,"RM 278,800.00",-,Belum Dijual,Ya,2026-01-04,2026-01-04 05:17:15
3,30150-2 TAMAN BUKIT NIBONG DAMAI,30150 TEOBROS HOLDINGS (M) SDN. BHD.,30150-2/11-2025/1211(A)-(L),HMM 1559,PT 3725,"RM 278,800.00",-,Belum Dijual,Ya,2026-01-04,2026-01-04 05:17:15
4,30150-2 TAMAN BUKIT NIBONG DAMAI,30150 TEOBROS HOLDINGS (M) SDN. BHD.,30150-2/11-2025/1211(A)-(L),HMM 1558,PT 3724,"RM 278,800.00",-,Belum Dijual,Ya,2026-01-04,2026-01-04 05:17:15
5,30150-2 TAMAN BUKIT NIBONG DAMAI,30150 TEOBROS HOLDINGS (M) SDN. BHD.,30150-2/11-2025/1211(A)-(L),HMM 1557,PT 3723,"RM 278,800.00",-,Belum Dijual,Ya,2026-01-04,2026-01-04 05:17:15
6,30150-2 TAMAN BUKIT NIBONG DAMAI,30150 TEOBROS HOLDINGS (M) SDN. BHD.,30150-2/11-2025/1211(A)-(L),HMM 1556,PT 3722,"RM 278,800.00",-,Belum Dijual,Ya,2026-01-04,2026-01-04 05:17:15
7,30150-2 TAMAN BUKIT NIBONG DAMAI,30150 TEOBROS HOLDINGS (M) SDN. BHD.,30150-2/11-2025/1211(A)-(L),HMM 1555,PT 3721,"RM 278,800.00",-,Belum Dijual,Ya,2026-01-04,2026-01-04 05:17:15
8,30150-2 TAMAN BUKIT NIBONG DAMAI,30150 TEOBROS HOLDINGS (M) SDN. BHD.,30150-2/11-2025/1211(A)-(L),HMM 1554,PT 3720,"RM 278,800.00",-,Belum Dijual,Ya,2026-01-04,2026-01-04 05:17:15
9,30150-2 TAMAN BUKIT NIBONG DAMAI,30150 TEOBROS HOLDINGS (M) SDN. BHD.,30150-2/11-2025/1211(A)-(L),HMM 1553,PT 3719,"RM 278,800.00",-,Belum Dijual,Ya,2026-01-04,2026-01-04 05:17:15
10,30150-2 TAMAN BUKIT NIBONG DAMAI,30150 TEOBROS HOLDINGS (M) SDN. BHD.,30150-2/11-2025/1211(A)-(L),HMM 1552,PT 3718,"RM 278,800.00",-,Belum Dijual,Ya,2026-01-04,2026-01-04 05:17:15
